"Date","Price","Open","High","Low","Vol.","Change %"
"03/30/2023",1971.22,1963.38,1975.26,1955.44,,"0.37%"
"03/29/2023",1964.04,1972.82,1974.64,1958.62,,"-0.49%"
"03/28/2023",1973.69,1957.23,1975.45,1948.66,,"0.88%"
"03/27/2023",1956.56,1977.66,1979.89,1943.68,,"-1.04%"
"03/24/2023",1977.22,1993.99,2003.19,1975.18,,"-0.82%"
"03/23/2023",1993.50,1967.91,2003.43,1964.39,,"1.21%"
"03/22/2023",1969.58,1940.44,1978.93,1934.33,,"1.52%"
"03/21/2023",1940.15,1979.17,1985.30,1935.41,,"-1.95%"
"03/20/2023",1978.71,1987.59,2010.19,1965.77,,"-0.46%"
"03/17/2023",1987.93,1920.00,1989.80,1918.33,,"3.59%"
"03/16/2023",1919.12,1920.54,1934.12,1907.55,,"0.05%"
"03/15/2023",1918.10,1903.91,1937.46,1885.78,,"0.84%"
"03/14/2023",1902.12,1913.19,1914.52,1895.17,,"-0.58%"
"03/13/2023",1913.23,1869.01,1914.79,1869.01,,"2.43%"
"03/10/2023",1867.83,1830.96,1870.28,1827.71,,"2.02%"
"03/09/2023",1830.89,1813.65,1835.56,1811.84,,"0.95%"
"03/08/2023",1813.59,1813.61,1824.38,1809.40,,"0.00%"
"03/07/2023",1813.52,1846.92,1852.26,1812.72,,"-1.80%"
"03/06/2023",1846.85,1855.35,1858.84,1845.08,,"-0.44%"
"03/03/2023",1854.97,1836.10,1856.47,1834.51,,"1.03%"
"03/02/2023",1836.00,1837.20,1838.94,1829.44,,"-0.04%"
"03/01/2023",1836.81,1827.24,1845.05,1823.05,,"0.53%"
"02/28/2023",1827.15,1817.38,1831.27,1804.65,,"0.54%"
"02/27/2023",1817.31,1812.01,1820.22,1806.68,,"0.36%"
"02/24/2023",1810.81,1822.74,1827.98,1808.91,,"-0.65%"
"02/23/2023",1822.64,1825.12,1834.43,1817.55,,"-0.13%"
"02/22/2023",1825.04,1834.71,1846.26,1823.05,,"-0.51%"
"02/21/2023",1834.32,1841.71,1844.44,1829.70,,"-0.37%"
"02/20/2023",1841.14,1842.73,1847.86,1837.09,,"-0.02%"
"02/17/2023",1841.59,1837.52,1843.77,1818.34,,"0.23%"
"02/16/2023",1837.44,1836.56,1845.45,1827.18,,"0.07%"
"02/15/2023",1836.19,1854.35,1860.18,1830.20,,"-0.98%"
"02/14/2023",1854.29,1853.67,1871.03,1843.20,,"0.05%"
"02/13/2023",1853.39,1865.69,1866.83,1850.42,,"-0.60%"
"02/10/2023",1864.67,1861.68,1872.31,1852.69,,"0.18%"
"02/09/2023",1861.39,1875.64,1890.69,1858.89,,"-0.76%"
"02/08/2023",1875.59,1874.05,1886.28,1867.40,,"0.09%"
"02/07/2023",1873.81,1867.39,1884.45,1864.94,,"0.35%"
"02/06/2023",1867.36,1865.17,1881.54,1860.39,,"0.10%"
"02/03/2023",1865.53,1912.57,1918.72,1861.41,,"-2.45%"
"02/02/2023",1912.37,1950.54,1959.77,1911.33,,"-1.95%"
"02/01/2023",1950.42,1927.92,1954.63,1920.56,,"1.17%"
"01/31/2023",1927.88,1922.82,1931.15,1900.74,,"0.28%"
"01/30/2023",1922.52,1928.40,1934.61,1920.58,,"-0.25%"
"01/27/2023",1927.34,1929.40,1935.15,1916.65,,"-0.09%"
"01/26/2023",1928.99,1946.09,1949.27,1918.74,,"-0.87%"
"01/25/2023",1945.93,1937.54,1948.12,1919.88,,"0.44%"
"01/24/2023",1937.45,1931.35,1942.93,1916.82,,"0.32%"
"01/23/2023",1931.30,1926.20,1935.69,1911.44,,"0.25%"
"01/20/2023",1926.57,1931.48,1937.72,1920.58,,"-0.25%"
"01/19/2023",1931.39,1903.83,1935.40,1900.48,,"1.45%"
"01/18/2023",1903.76,1908.46,1926.30,1896.56,,"-0.24%"
"01/17/2023",1908.39,1917.81,1919.83,1903.51,,"-0.50%"
"01/16/2023",1918.00,1920.39,1929.24,1910.74,,"-0.12%"
"01/13/2023",1920.21,1897.03,1922.24,1891.80,,"1.23%"
"01/12/2023",1896.86,1876.43,1901.88,1873.64,,"1.09%"
"01/11/2023",1876.38,1877.30,1887.09,1866.75,,"-0.05%"
"01/10/2023",1877.27,1871.66,1881.04,1867.37,,"0.30%"
"01/09/2023",1871.59,1865.45,1881.80,1864.59,,"0.32%"
"01/06/2023",1865.71,1833.27,1870.37,1830.53,,"1.77%"
"01/05/2023",1833.19,1854.19,1859.36,1824.68,,"-1.13%"
"01/04/2023",1854.09,1839.51,1865.49,1835.92,,"0.79%"
"01/03/2023",1839.49,1826.14,1850.69,1824.42,,"0.87%"
"01/02/2023",1823.69,1823.85,1823.94,1823.85,,"-0.04%"
